subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot;0;0;0;1;False;1000;True;space;8;167.1641476412253;eye;L;nan;nan;0;nan;nan;0.6832186999963596;0.6832938999868929;1683797949.6315932;1683797949.6507065;1683797950.4061847;1683797951.058383;1683797952.0387206;1683797952.7221012;[];[];[]
pilot;1;0;0;1;False;3000;True;;8;-141.5754287608723;eye;L;-5.858873605728149;-4.489571464061736;0;-142.54;7.38;0.7156045000301674;0.7156414999626577;1683797953.5882335;1683797953.6027627;1683797954.3561413;1683797954.855745;1683797957.8540888;1683797958.569957;[];[];[]
pilot;2;0;0;1;False;1000;False;;8;4.356563365515151;eye;L;nan;nan;0;nan;nan;0.003006499959155917;0.003106399904936552;1683797959.3740468;1683797959.384032;1683797960.1226077;1683797960.1235633;1683797960.1235633;1683797960.1267548;[];[];[]
pilot;2;0;0;1;False;1000;True;;8;-164.38144326497175;eye;L;-7.139494717121124;-2.434289914369583;0;-161.17;7.54;0.717439700034447;0.7174757999600843;1683797960.6928732;1683797960.7008908;1683797961.4541907;1683797961.9550755;1683797962.9361434;1683797963.6528733;[];[];[]
pilot;3;0;0;1;False;3000;True;;8;73.67289163048777;eye;L;0;0;0;0.0;0.0;0.001904900069348514;0.001966299954801798;1683797964.4550114;1683797964.4670403;1683797965.2202492;1683797965.720711;1683797968.7209015;1683797968.7230446;[];[];[]
pilot;4;0;0;1;False;1000;True;;8;75.57351386435064;eye;L;2.350781738758087;7.5989733371883625;0;72.81;7.95;0.8510366000700742;0.8510772000299767;1683797969.4202309;1683797969.4347656;1683797970.1878216;1683797970.6900675;1683797971.6698222;1683797972.5208082;[];[];[]
pilot;5;0;0;1;False;3000;True;;8;-161.93783851306642;eye;L;-7.288736283779144;-1.6319012403488158;0;-167.38;7.47;0.7636310999514535;0.763741800095886;1683797973.397746;1683797973.4180465;1683797974.1718209;1683797974.6728876;1683797977.6739197;1683797978.4373944;[];[];[]
pilot;6;0;0;1;False;1000;True;;8;9.732994923104128;eye;L;8.042888522148132;0.3670420713722706;0;2.61;8.05;0.6872665999690071;0.6873549999436364;1683797979.2168975;1683797979.2335808;1683797979.9885123;1683797980.4890087;1683797981.4700017;1683797982.1571517;[];[];[]
pilot;7;0;0;1;False;3000;True;;8;49.62047858085923;eye;L;6.57012152671814;6.229070068895816;0;43.47;9.05;0.6329619999742135;0.6331328999949619;1683797982.9577706;1683797982.967328;1683797983.7222793;1683797984.2217827;1683797987.220209;1683797987.853471;[];[];[]
pilot;8;0;0;1;False;3000;True;;8;39.68856352180441;eye;L;6.436401844024658;4.344188359379768;0;34.02;7.77;0.6674928999273106;0.6675852999323979;1683797988.6768692;1683797988.682965;1683797989.438503;1683797989.9397626;1683797992.9380422;1683797993.6060746;[];[];[]
pilot;9;0;0;1;False;1000;True;;8;-179.13480844165866;eye;L;-6.602694720029831;-0.5826348468661308;0;-174.96;6.63;1.015523999929428;1.0157283000880852;1683797995.866155;1683797995.8831573;1683797996.6384475;1683797997.138133;1683797998.1201627;1683797999.1355605;[];[];[]
pilot;10;0;0;1;False;1000;True;;8;-100.9749143490864;eye;L;-0.6087469756603241;-6.21385101377964;0;-95.6;6.24;0.9000467000296339;0.900111399940215;1683798001.4767406;1683798001.481758;1683798002.2362502;1683798002.7371018;1683798003.7192738;1683798004.6193802;[];[];[]
pilot;11;0;0;1;False;3000;True;;8;-103.64876710347596;eye;L;-0.9925715923309326;-6.182783214747905;0;-99.12;6.26;1.5996345999883488;1.599701900035143;1683798007.5722442;1683798007.581624;1683798008.3357058;1683798008.838626;1683798011.835237;1683798013.4352074;[];[];[]
